CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 0.265625 1610474888.4420
MEM 15.527344 1610474888.5469
MEM 25.312500 1610474888.6502
MEM 34.917969 1610474888.7505
MEM 44.183594 1610474888.8547
MEM 50.984375 1610474888.9581
MEM 54.839844 1610474889.0584
MEM 58.210938 1610474889.1600
MEM 62.675781 1610474889.2628
MEM 75.937500 1610474889.3632
MEM 92.371094 1610474889.4660
MEM 104.339844 1610474889.5699
MEM 110.820312 1610474889.6711
MEM 117.257812 1610474889.7746
MEM 123.339844 1610474889.8791
MEM 127.539062 1610474889.9835
MEM 132.558594 1610474890.0840
MEM 136.320312 1610474890.1847
MEM 141.699219 1610474890.2894
MEM 145.355469 1610474890.3940
MEM 147.199219 1610474890.4942
MEM 148.792969 1610474890.5947
MEM 148.792969 1610474890.6977
MEM 149.011719 1610474890.8003
MEM 149.089844 1610474890.9007
MEM 149.089844 1610474891.0040
MEM 149.804688 1610474891.1085
MEM 149.804688 1610474891.2113
MEM 149.824219 1610474891.3161
MEM 149.863281 1610474891.4185
MEM 149.863281 1610474891.5214
MEM 150.550781 1610474891.6254
MEM 150.554688 1610474891.7304
MEM 150.554688 1610474891.8351
MEM 150.574219 1610474891.9380
MEM 150.578125 1610474892.0418
MEM 150.578125 1610474892.1420
MEM 150.589844 1610474892.2472
MEM 150.597656 1610474892.3503
MEM 150.597656 1610474892.4535
MEM 150.609375 1610474892.5586
MEM 150.609375 1610474892.6592
MEM 150.609375 1610474892.7605
MEM 150.617188 1610474892.8629
MEM 150.617188 1610474892.9645
MEM 151.062500 1610474893.0683
MEM 151.062500 1610474893.1738
MEM 151.062500 1610474893.2754
MEM 160.949219 1610474893.3805
MEM 160.949219 1610474893.4823
MEM 161.429688 1610474893.5828
MEM 161.429688 1610474893.6878
MEM 161.625000 1610474893.7920
MEM 161.625000 1610474893.8935
MEM 161.625000 1610474893.9951
MEM 161.980469 1610474894.1003
MEM 162.035156 1610474894.2045
MEM 162.066406 1610474894.3076
MEM 162.207031 1610474894.4112
MEM 162.210938 1610474894.5163
MEM 162.214844 1610474894.6177
MEM 163.296875 1610474894.7229
MEM 164.535156 1610474894.8267
MEM 165.675781 1610474894.9304
MEM 166.832031 1610474895.0340
MEM 168.117188 1610474895.1359
MEM 169.199219 1610474895.2390
MEM 169.984375 1610474895.3436
MEM 171.417969 1610474895.4475
MEM 172.699219 1610474895.5504
MEM 174.050781 1610474895.6542
MEM 175.304688 1610474895.7576
MEM 176.558594 1610474895.8603
MEM 177.851562 1610474895.9645
MEM 179.152344 1610474896.0698
MEM 180.496094 1610474896.1750
MEM 181.843750 1610474896.2769
MEM 183.117188 1610474896.3805
MEM 184.449219 1610474896.4813
MEM 185.625000 1610474896.5844
MEM 187.339844 1610474896.6895
MEM 188.550781 1610474896.7936
MEM 189.695312 1610474896.8937
MEM 191.105469 1610474896.9949
MEM 192.289062 1610474897.0953
MEM 193.609375 1610474897.2004
MEM 194.875000 1610474897.3020
MEM 196.343750 1610474897.4036
MEM 197.582031 1610474897.5042
MEM 198.937500 1610474897.6075
MEM 200.355469 1610474897.7102
MEM 201.542969 1610474897.8129
MEM 202.835938 1610474897.9137
MEM 204.238281 1610474898.0176
MEM 205.707031 1610474898.1211
MEM 206.917969 1610474898.2226
MEM 208.250000 1610474898.3266
MEM 209.636719 1610474898.4298
MEM 211.058594 1610474898.5306
MEM 211.457031 1610474898.6315
MEM 212.632812 1610474898.7346
MEM 213.988281 1610474898.8359
MEM 215.382812 1610474898.9394
MEM 216.742188 1610474899.0426
MEM 218.136719 1610474899.1475
MEM 219.562500 1610474899.2515
MEM 220.910156 1610474899.3519
MEM 222.273438 1610474899.4521
MEM 223.636719 1610474899.5529
MEM 225.460938 1610474899.6582
MEM 226.589844 1610474899.7601
MEM 227.898438 1610474899.8603
MEM 229.324219 1610474899.9624
MEM 230.621094 1610474900.0676
MEM 232.093750 1610474900.1719
MEM 233.539062 1610474900.2752
MEM 234.910156 1610474900.3785
MEM 236.160156 1610474900.4787
MEM 237.511719 1610474900.5806
MEM 238.847656 1610474900.6844
MEM 240.242188 1610474900.7893
MEM 241.589844 1610474900.8898
MEM 242.914062 1610474900.9916
MEM 244.136719 1610474901.0926
MEM 245.531250 1610474901.1952
MEM 246.718750 1610474901.3004
MEM 248.027344 1610474901.4016
MEM 249.406250 1610474901.5051
MEM 250.609375 1610474901.6062
MEM 252.031250 1610474901.7114
MEM 253.332031 1610474901.8126
MEM 254.632812 1610474901.9129
MEM 255.628906 1610474902.0149
MEM 256.066406 1610474902.1187
MEM 257.332031 1610474902.2226
MEM 258.742188 1610474902.3277
MEM 260.210938 1610474902.4316
MEM 261.507812 1610474902.5348
MEM 262.871094 1610474902.6370
MEM 264.109375 1610474902.7377
MEM 265.464844 1610474902.8417
MEM 266.742188 1610474902.9449
MEM 268.000000 1610474903.0498
MEM 269.226562 1610474903.1549
MEM 270.453125 1610474903.2569
MEM 271.667969 1610474903.3571
MEM 272.894531 1610474903.4611
MEM 274.156250 1610474903.5613
MEM 275.414062 1610474903.6616
MEM 276.699219 1610474903.7668
MEM 277.976562 1610474903.8697
MEM 279.203125 1610474903.9702
MEM 280.445312 1610474904.0706
MEM 281.753906 1610474904.1728
MEM 283.164062 1610474904.2781
MEM 284.523438 1610474904.3810
MEM 285.914062 1610474904.4849
MEM 287.304688 1610474904.5900
MEM 288.656250 1610474904.6911
MEM 290.039062 1610474904.7945
MEM 291.367188 1610474904.8947
MEM 292.574219 1610474904.9952
MEM 293.671875 1610474905.0958
MEM 323.156250 1610474905.1992
MEM 381.953125 1610474905.3016
MEM 410.867188 1610474905.4021
MEM 308.183594 1610474905.5051
MEM 239.750000 1610474905.6091
MEM 239.750000 1610474905.7124
MEM 239.750000 1610474905.8128
MEM 239.925781 1610474905.9133
MEM 239.925781 1610474906.0159
MEM 239.925781 1610474906.1168
MEM 239.925781 1610474906.2178
MEM 239.925781 1610474906.3188
MEM 239.425781 1610474906.4240
MEM 239.425781 1610474906.5269
MEM 239.425781 1610474906.6307
MEM 239.425781 1610474906.7355
MEM 239.425781 1610474906.8366
MEM 239.425781 1610474906.9384
MEM 239.425781 1610474907.0408
MEM 239.425781 1610474907.1410
MEM 239.433594 1610474907.2413
MEM 239.433594 1610474907.3426
MEM 239.433594 1610474907.4466
MEM 239.433594 1610474907.5515
MEM 239.433594 1610474907.6548
MEM 239.433594 1610474907.7600
MEM 239.433594 1610474907.8634
MEM 239.433594 1610474907.9673
MEM 239.433594 1610474908.0693
MEM 239.433594 1610474908.1716
MEM 239.433594 1610474908.2749
MEM 239.445312 1610474908.3784
MEM 239.445312 1610474908.4807
MEM 239.449219 1610474908.5818
MEM 239.449219 1610474908.6825
MEM 239.449219 1610474908.7862
MEM 239.449219 1610474908.8865
MEM 239.449219 1610474908.9902
MEM 239.449219 1610474909.0937
MEM 239.449219 1610474909.1959
MEM 239.449219 1610474909.2966
MEM 239.449219 1610474909.4017
MEM 239.449219 1610474909.5047
MEM 239.449219 1610474909.6086
MEM 239.449219 1610474909.7133
MEM 239.449219 1610474909.8185
MEM 239.449219 1610474909.9201
MEM 239.449219 1610474910.0219
MEM 239.449219 1610474910.1263
MEM 239.449219 1610474910.2308
MEM 239.460938 1610474910.3321
MEM 239.476562 1610474910.4366
MEM 239.480469 1610474910.5380
MEM 239.515625 1610474910.6393
MEM 239.550781 1610474910.7409
MEM 239.605469 1610474910.8419
MEM 239.625000 1610474910.9436
MEM 239.625000 1610474911.0439
MEM 239.671875 1610474911.1450
MEM 239.687500 1610474911.2502
MEM 240.816406 1610474911.3538
MEM 242.046875 1610474911.4589
MEM 243.144531 1610474911.5640
MEM 244.289062 1610474911.6655
MEM 245.472656 1610474911.7684
MEM 246.574219 1610474911.8731
MEM 247.792969 1610474911.9783
MEM 248.957031 1610474912.0821
MEM 250.187500 1610474912.1838
MEM 251.484375 1610474912.2880
MEM 252.777344 1610474912.3900
MEM 254.136719 1610474912.4927
MEM 255.335938 1610474912.5976
MEM 256.457031 1610474912.7011
MEM 257.585938 1610474912.8041
MEM 258.710938 1610474912.9079
MEM 260.062500 1610474913.0127
MEM 261.085938 1610474913.1154
MEM 262.222656 1610474913.2159
MEM 263.324219 1610474913.3171
MEM 264.523438 1610474913.4193
MEM 265.148438 1610474913.5214
MEM 265.613281 1610474913.6219
MEM 266.765625 1610474913.7233
MEM 267.816406 1610474913.8249
MEM 269.078125 1610474913.9301
MEM 270.195312 1610474914.0311
MEM 271.449219 1610474914.1320
MEM 272.578125 1610474914.2324
MEM 273.863281 1610474914.3374
MEM 275.164062 1610474914.4424
MEM 276.382812 1610474914.5462
MEM 277.613281 1610474914.6489
MEM 278.921875 1610474914.7530
MEM 280.156250 1610474914.8574
MEM 281.355469 1610474914.9577
MEM 282.539062 1610474915.0579
MEM 283.742188 1610474915.1582
MEM 284.828125 1610474915.2613
MEM 285.929688 1610474915.3617
MEM 287.097656 1610474915.4625
MEM 288.199219 1610474915.5666
MEM 289.355469 1610474915.6676
MEM 290.484375 1610474915.7716
MEM 291.648438 1610474915.8755
MEM 292.886719 1610474915.9758
MEM 294.269531 1610474916.0809
MEM 295.414062 1610474916.1839
MEM 296.554688 1610474916.2881
MEM 297.757812 1610474916.3916
MEM 298.859375 1610474916.4919
MEM 300.132812 1610474916.5933
MEM 301.203125 1610474916.6982
MEM 302.417969 1610474916.8014
MEM 303.660156 1610474916.9051
MEM 304.804688 1610474917.0053
MEM 306.019531 1610474917.1062
MEM 307.023438 1610474917.2091
MEM 308.125000 1610474917.3129
MEM 308.242188 1610474917.4159
MEM 309.011719 1610474917.5181
MEM 310.218750 1610474917.6226
MEM 311.531250 1610474917.7249
MEM 312.792969 1610474917.8274
MEM 357.101562 1610474917.9310
MEM 425.265625 1610474918.0352
MEM 440.816406 1610474918.1355
MEM 393.320312 1610474918.2367
MEM 221.480469 1610474918.3417
MEM 221.480469 1610474918.4451
MEM 221.480469 1610474918.5491
MEM 221.480469 1610474918.6528
MEM 221.480469 1610474918.7551
MEM 221.480469 1610474918.8584
MEM 221.480469 1610474918.9616
MEM 221.480469 1610474919.0648
MEM 221.480469 1610474919.1683
MEM 221.480469 1610474919.2708
MEM 221.484375 1610474919.3717
MEM 221.492188 1610474919.4769
MEM 221.492188 1610474919.5810
MEM 221.492188 1610474919.6851
MEM 221.492188 1610474919.7904
MEM 221.492188 1610474919.8925
MEM 221.492188 1610474919.9939
MEM 221.492188 1610474920.0956
MEM 221.671875 1610474920.2006
MEM 221.671875 1610474920.3023
MEM 221.671875 1610474920.4025
MEM 221.671875 1610474920.5028
MEM 221.671875 1610474920.6043
MEM 221.671875 1610474920.7062
MEM 221.671875 1610474920.8114
MEM 221.671875 1610474920.9140
MEM 221.671875 1610474921.0183
MEM 221.671875 1610474921.1213
MEM 221.671875 1610474921.2237
MEM 221.671875 1610474921.3240
MEM 221.671875 1610474921.4258
MEM 221.671875 1610474921.5297
MEM 221.671875 1610474921.6311
MEM 221.671875 1610474921.7355
MEM 221.671875 1610474921.8382
MEM 221.671875 1610474921.9406
MEM 221.671875 1610474922.0418
MEM 222.808594 1610474922.1451
MEM 224.054688 1610474922.2490
MEM 225.199219 1610474922.3519
MEM 226.382812 1610474922.4558
MEM 226.843750 1610474922.5570
MEM 227.707031 1610474922.6578
MEM 228.894531 1610474922.7589
MEM 230.050781 1610474922.8594
MEM 231.207031 1610474922.9646
MEM 232.441406 1610474923.0678
MEM 233.621094 1610474923.1681
MEM 234.816406 1610474923.2719
MEM 236.050781 1610474923.3769
MEM 237.308594 1610474923.4811
MEM 238.515625 1610474923.5836
MEM 239.863281 1610474923.6888
MEM 241.007812 1610474923.7939
MEM 242.167969 1610474923.8986
MEM 243.343750 1610474924.0024
MEM 244.562500 1610474924.1064
MEM 246.789062 1610474924.2101
MEM 247.367188 1610474924.3108
MEM 248.496094 1610474924.4140
MEM 249.777344 1610474924.5183
MEM 250.820312 1610474924.6187
MEM 251.988281 1610474924.7201
MEM 253.097656 1610474924.8212
MEM 254.312500 1610474924.9252
MEM 255.261719 1610474925.0288
MEM 256.433594 1610474925.1313
MEM 257.671875 1610474925.2329
MEM 258.839844 1610474925.3360
MEM 260.164062 1610474925.4381
MEM 261.304688 1610474925.5428
MEM 262.492188 1610474925.6459
MEM 263.726562 1610474925.7480
MEM 264.867188 1610474925.8483
MEM 266.019531 1610474925.9494
MEM 267.167969 1610474926.0501
MEM 268.398438 1610474926.1508
MEM 268.796875 1610474926.2538
MEM 269.585938 1610474926.3555
MEM 270.757812 1610474926.4587
MEM 271.890625 1610474926.5626
MEM 272.933594 1610474926.6629
MEM 274.093750 1610474926.7661
MEM 275.210938 1610474926.8705
MEM 276.492188 1610474926.9753
MEM 277.640625 1610474927.0768
